Entrada (n) | Tiempo Requerido (s)
------------------------------------
	0 		| 		0.000003
	1 		| 		0.000001
	2 		| 		0.000001
	3 		| 		0.000000
	4 		| 		0.000001
	5 		| 		0.000001
	6 		| 		0.000001
	7 		| 		0.000001
	8 		| 		0.000001
	9 		| 		0.000002
	10 		| 		0.000002
	11 		| 		0.000003
	12 		| 		0.000003
	13 		| 		0.000005
	14 		| 		0.000006
	15 		| 		0.000009
	16 		| 		0.000014
	17 		| 		0.000022
	18 		| 		0.000036
	19 		| 		0.000055
	20 		| 		0.000080
	21 		| 		0.000120
	22 		| 		0.000195
	23 		| 		0.000365
	24 		| 		0.000617
	25 		| 		0.001032
	26 		| 		0.001709
	27 		| 		0.002483
	28 		| 		0.003296
	29 		| 		0.005148
	30 		| 		0.009850
	31 		| 		0.015768
	32 		| 		0.020981
	33 		| 		0.033701
	34 		| 		0.057274
	35 		| 		0.091360
	36 		| 		0.144673
	37 		| 		0.235462
	38 		| 		0.389653
	39 		| 		0.619887
	40 		| 		1.001836
	41 		| 		1.623129
	42 		| 		2.624910
	43 		| 		4.174229
	44 		| 		6.701580
	45 		| 		11.134089
	46 		| 		17.680042
	47 		| 		28.460503
	48 		| 		46.168684
	49 		| 		74.434686
	50 		| 		120.668819
	51 		| 		195.244932
	52 		| 		315.661387
	53 		| 		510.627936
	54 		| 		826.631609
	55 		| 		1338.311146
	56 		| 		2317.268071
